Team,Region,Seed,AdjOE,AdjDE,NetRating
Duke,East,1,128.15341227498715,90.8154957829392,37.33791649204795
Michigan,Midwest,1,127.64217031466902,91.04413625846352,36.59803405620549
Arizona,West,1,126.9321460582261,91.39503191771529,35.53711414051081
Florida,South,1,126.1012395802961,92.27183151422275,33.82940806607334
Houston,South,2,125.3575439934591,92.3933677538282,32.9641762396309
Illinois,South,3,131.94694454531373,98.20479428511617,33.74215026019756
Iowa St.,Midwest,2,123.7703019431163,92.63099724769936,31.13930469541694
Purdue,West,2,133.2994933220527,100.25351755550751,33.0459757665452
Connecticut,East,2,123.09231139676032,94.97544653465152,28.116864862108798
Vanderbilt,South,5,127.4599219459714,99.34599407492694,28.113927871044467
Gonzaga,West,3,120.29399441347522,94.02268239541677,26.271312018058453
Texas Tech,Midwest,5,126.2978742031322,98.8004354681685,27.497438734963694
Michigan St.,East,3,122.90412124752709,96.17705275460614,26.72706849292095
Virginia,Midwest,3,122.25205613964982,95.8344525244936,26.417603615156224
St. John's,East,5,119.81965167445712,94.1091184118464,25.710533262610724
Tennessee,Midwest,6,121.49911103763291,95.52661090870969,25.97250012892323
Louisville,East,6,124.03092134301224,98.16637318829726,25.86454815471498
Alabama,Midwest,4,129.5068422413437,102.79632072581045,26.710521515533244
Arkansas,West,4,127.94051452184348,101.65772739609704,26.282787125746438
Nebraska,South,4,117.23048733698973,93.48946246404842,23.74102487294131
Wisconsin,West,5,127.17969788591084,101.64294639109173,25.536751494819114
Kansas,East,4,117.84374120350016,94.37229394827416,23.471447255225996
Ohio St.,East,8,125.21288575418605,101.5972652502881,23.615620503897944
UCLA,East,7,124.53664767759,101.77197670533974,22.764670972250258
Saint Mary's,South,7,119.37882218812324,97.56639469460671,21.812427493516523
Iowa,South,9,122.13362314657542,100.20069128971964,21.932931856855774
North Carolina,South,6,121.4403374454,100.0297090854987,21.41062835990131
Utah St.,West,9,123.02756610897856,102.08557880164533,20.941987307333235
Santa Clara,Midwest,10,124.99837350099403,103.7282363305916,21.270137170402435
Clemson,South,8,116.55176553741806,96.97887743938894,19.572888098029125
Kentucky,Midwest,7,119.91562400082915,99.98243533678082,19.93318866404833
BYU,West,6,124.74726046179272,104.32603761024596,20.42122285154676
Miami FL,West,7,121.08285199103686,101.45836101785264,19.624490973184223
Villanova,West,8,119.60620831826228,100.5401540332367,19.066054285025572
Georgia,Midwest,8,124.33467639245892,104.76322848413776,19.57144790832116
N.C. State,West,11,124.0791742781019,104.65246540341936,19.426708874682546
Texas A&M,South,10,119.87601686158284,101.41076148336722,18.465255378215616
SMU,Midwest,11,123.02965686750076,104.98257389448288,18.04708297301788
Saint Louis,Midwest,9,119.53830227376412,102.24009799942338,17.298204274340733
Texas,West,11,124.04184795558996,106.39439850648502,17.64744944910494
Missouri,West,10,119.93332763336014,103.03754275098645,16.89578488237369
VCU,South,11,119.28436866922598,103.06535293295384,16.21901573627214
TCU,East,9,114.85112044172548,99.64859484165936,15.202525600066124
South Florida,East,11,116.78333020433982,101.40773680789248,15.375593396447343
UCF,East,10,119.9970496402427,105.68124914573764,14.315800494505055
Northern Iowa,East,12,109.7407546798534,98.57513448405132,11.165620195802077
Akron,Midwest,12,117.17995472221556,105.35632887257904,11.823625849636514
McNeese St.,South,12,113.15720896198862,102.1501066778718,11.007102284116812
Miami OH,Midwest,11,116.68268863954302,107.58983458906827,9.092854050474742
Hofstra,Midwest,13,113.18013757388368,104.92550429648676,8.25463327739692
High Point,West,12,115.68479734590554,107.50842437301556,8.176372972889979
Cal Baptist,East,13,107.49348092293366,100.31550666550196,7.1779742574317
North Dakota St.,East,14,111.4430779248222,106.03757221699244,5.405505707829761
Hawaii,West,13,106.8859286534012,101.84279378918032,5.043134864220875
Wright St.,Midwest,14,112.38262862482148,109.02350426056606,3.359124364255422
Idaho,South,15,108.8283351935076,106.18221404195752,2.6461211515500764
Troy,South,13,110.70417182409956,109.03108135823511,1.6730904658644477
Kennesaw St.,West,14,110.80365839011336,109.50568106706612,1.2979773230472347
Penn,South,14,106.5670142829427,105.40410041421252,1.1629138687301719
UMBC,Midwest,16,107.5754191591196,109.23898325311876,-1.663564093999156
Siena,East,16,107.22800946436185,108.9287326827452,-1.7007232183833594
Furman,East,15,106.9066598873682,109.01089381505058,-2.1042339276823725
Queens,West,15,114.65604259766955,117.09746461042891,-2.441422012759361
Howard,Midwest,16,103.46260964732822,106.23251070531592,-2.7699010579876955
Tennessee St.,Midwest,15,107.80075782016348,111.89757810935993,-4.096820289196444
LIU,West,16,103.64358167668097,109.7666193148426,-6.123037638161634
Prairie View A&M,South,16,101.43766427113906,111.379431988893,-9.941767717753947
Lehigh,South,16,102.580773016835,112.77752901751252,-10.196756000677524
